Code,State,Cases,Deaths,,
AL,Alabama,10164,403,,
AK,Alaska,380,8,,
AZ,Arizona,11380,542,,
AR,Arkansas,4043,94,,
CA,California,69514,2820,,
CO,Colorado,19793,986,,
CT,Connecticut,33765,3008,,
DE,Delaware,6565,225,,
FL,Florida,40974,1734,,
GA,Georgia,32448,1420,,
HI,Hawaii,623,17,,
ID,Idaho,2261,70,,
IL,Illinois,79123,3480,,
IN,Indiana,25134,1540,,
IA,Iowa,12373,271,,
KS,Kansas,7161,174,,
KY,Kentucky,6710,325,,
LA,Louisiana,31815,2242,,
ME,Maine,1462,65,,
MD,Maryland,33483,1683,,
MA,Massachusetts,78462,5108,,
MI,Michigan,47526,4584,,
MN,Minnesota,11799,591,,
MS,Mississippi,9674,435,,
MO,Missouri,10025,512,,
MT,Montana,459,16,,
NE,Nebraska,8576,100,,
NV,Nevada,6153,312,,
NH,New Hampshire,3160,133,,
NJ,New Jersey,139945,9310,,
NM,New Mexico,5069,208,,
NY,New York,342267,27003,,
NC,North Carolina,15069,571,,
ND,North Dakota,1518,36,,
OH,Ohio,24785,1357,,
OK,Oklahoma,4613,274,,
OR,Oregon,3286,130,,
PA,Pennsylvania,60557,3846,,
RI,Rhode Island,11450,430,,
SC,South Carolina,7792,346,,
SD,South Dakota,3614,34,,
TN,Tennessee,15423,248,,
TX,Texas,40988,1137,,
UT,Utah,6364,68,,
VT,Vermont,926,53,,
VA,Virginia,25070,850,,
WA,Washington,18300,957,,
WV,West Virginia,1369,57,,
WI,Wisconsin,10418,409,,
WY,Wyoming,669,7,,
