date,code,state,fips,cases,deaths
5/14/2020,AL,Alabama,1,11101,473
5/14/2020,AK,Alaska,2,387,8
5/14/2020,AZ,Arizona,4,12674,624
5/14/2020,AR,Arkansas,5,4366,98
5/14/2020,CA,California,6,74947,3039
5/14/2020,CO,Colorado,8,20813,1091
5/14/2020,CT,Connecticut,9,35464,3219
5/14/2020,DE,Delaware,10,7223,260
5/14/2020,,District of Columbia,11,6736,358
5/14/2020,FL,Florida,12,43202,1874
5/14/2020,GA,Georgia,13,34422,1521
5/14/2020,,Guam,66,1121,6
5/14/2020,HI,Hawaii,15,627,17
5/14/2020,ID,Idaho,16,2352,72
5/14/2020,IL,Illinois,17,88081,3945
5/14/2020,IN,Indiana,18,26627,1646
5/14/2020,IA,Iowa,19,13675,318
5/14/2020,KS,Kansas,20,7668,181
5/14/2020,KY,Kentucky,21,7397,341
5/14/2020,LA,Louisiana,22,33489,2351
5/14/2020,ME,Maine,23,1565,69
5/14/2020,MD,Maryland,24,36021,1866
5/14/2020,MA,Massachusetts,25,82182,5482
5/14/2020,MI,Michigan,26,49489,4787
5/14/2020,MN,Minnesota,27,13443,672
5/14/2020,MS,Mississippi,28,10483,480
5/14/2020,MO,Missouri,29,10490,566
5/14/2020,MT,Montana,30,462,16
5/14/2020,NE,Nebraska,31,9416,118
5/14/2020,NV,Nevada,32,6615,339
5/14/2020,NH,New Hampshire,33,3382,151
5/14/2020,NJ,New Jersey,34,142704,9946
5/14/2020,NM,New Mexico,35,5503,242
5/14/2020,NY,New York,36,348192,27617
5/14/2020,NC,North Carolina,37,16593,632
5/14/2020,ND,North Dakota,38,1712,40
5/14/2020,,Northern Mariana Islands,69,19,2
5/14/2020,OH,Ohio,39,26363,1534
5/14/2020,OK,Oklahoma,40,4962,284
5/14/2020,OR,Oregon,41,3479,137
5/14/2020,PA,Pennsylvania,42,63158,4298
5/14/2020,,Puerto Rico,72,2427,117
5/14/2020,RI,Rhode Island,44,12016,468
5/14/2020,SC,South Carolina,45,8189,371
5/14/2020,SD,South Dakota,46,3792,43
5/14/2020,TN,Tennessee,47,16588,284
5/14/2020,TX,Texas,48,45169,1256
5/14/2020,UT,Utah,49,6760,76
5/14/2020,VT,Vermont,50,932,53
5/14/2020,,Virgin Islands,78,69,6
5/14/2020,VA,Virginia,51,27813,955
5/14/2020,WA,Washington,53,18964,991
5/14/2020,WV,West Virginia,54,1434,62
5/14/2020,WI,Wisconsin,55,11280,434
5/14/2020,WY,Wyoming,56,701,7
